epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,428.462,2.81693,3.74252,1.51557,0.47509,0.41723,0.40991,0.13796,2.40588,1.89766,1.33976,0.00999466,0.00333155,0.00999466,0.00333155,0.00999466,0.00333155,0.00999466,0.00333155
2,798.602,2.41819,1.94401,1.31593,0.59359,0.53301,0.51844,0.16223,2.33543,1.62615,1.31126,0.0195988,0.00653292,0.0195988,0.00653292,0.0195988,0.00653292,0.0195988,0.00653292
3,1146,2.38017,1.79923,1.31511,0.67997,0.55822,0.60602,0.20675,2.36841,1.71826,1.35655,0.0288069,0.00960229,0.0288069,0.00960229,0.0288069,0.00960229,0.0288069,0.00960229
4,1483.86,2.31459,1.64554,1.29788,0.82998,0.62121,0.72776,0.27723,2.1889,1.33709,1.2838,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1830.71,2.17815,1.42325,1.23814,0.86216,0.77191,0.84206,0.33007,2.11851,1.13786,1.25536,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2227.81,2.10104,1.28316,1.2024,0.89203,0.82713,0.88759,0.3734,2.00709,1.0238,1.1911,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2566.78,2.0413,1.18986,1.17409,0.88592,0.85354,0.91547,0.38654,1.95937,0.97793,1.17215,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2905.44,2.00327,1.13867,1.15673,0.9272,0.87875,0.93068,0.40374,1.95812,0.92558,1.17908,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3247.47,1.96452,1.09227,1.14144,0.92107,0.89316,0.93354,0.40892,1.94996,0.88679,1.15654,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3591.46,1.93544,1.05371,1.13167,0.93627,0.91957,0.9585,0.42839,1.88907,0.85288,1.13852,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3934.47,1.90954,1.02426,1.12527,0.9497,0.9293,0.9629,0.43565,1.86008,0.81494,1.13304,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4282.65,1.88861,0.99281,1.11618,0.94966,0.93277,0.96295,0.44003,1.85393,0.81189,1.12402,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,4622.68,1.87313,0.97465,1.10707,0.96559,0.93517,0.96878,0.44565,1.86073,0.78976,1.12127,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4963.11,1.85511,0.94766,1.10194,0.96455,0.93637,0.96581,0.45054,1.86394,0.78795,1.1176,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,5302.98,1.84199,0.93248,1.09864,0.96939,0.94838,0.97544,0.46465,1.81381,0.76655,1.11091,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,5642.47,1.82763,0.92392,1.09088,0.96327,0.94118,0.97437,0.46209,1.82268,0.75377,1.10631,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,5982.6,1.81223,0.89998,1.08709,0.9648,0.94958,0.97635,0.46341,1.796,0.73904,1.10327,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,6322.27,1.80126,0.88621,1.08327,0.96487,0.95318,0.97986,0.45474,1.80557,0.73469,1.10736,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,6662.13,1.79128,0.87596,1.07951,0.96006,0.95215,0.97825,0.45902,1.7981,0.72452,1.10296,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,7002.25,1.77263,0.86536,1.07303,0.96505,0.96123,0.98194,0.46577,1.79002,0.71759,1.09854,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,7342.4,1.75973,0.85285,1.07007,0.96835,0.95318,0.97801,0.4626,1.78017,0.70747,1.09405,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,7682.44,1.75167,0.83963,1.06335,0.96576,0.95678,0.98031,0.46348,1.78517,0.70069,1.09465,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,8022.58,1.73714,0.83528,1.06323,0.97033,0.96279,0.98321,0.4723,1.77316,0.69443,1.09297,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,8362.4,1.73463,0.82297,1.06114,0.97491,0.96519,0.98503,0.47228,1.76839,0.68705,1.09117,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,8701.51,1.71996,0.81256,1.05824,0.97551,0.96519,0.98681,0.47395,1.77454,0.68412,1.09234,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,9041.09,1.70673,0.79825,1.05346,0.97539,0.96759,0.98646,0.473,1.78043,0.67969,1.09154,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,9382.12,1.69949,0.79303,1.04887,0.97343,0.96879,0.98587,0.47285,1.77712,0.67724,1.08992,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,9726.5,1.68901,0.78008,1.04842,0.97738,0.96999,0.98717,0.47535,1.77233,0.67178,1.08972,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,10070.1,1.67971,0.7741,1.04228,0.97698,0.96809,0.98603,0.47495,1.7766,0.67035,1.0902,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,10413.5,1.67222,0.7634,1.0424,0.97563,0.96879,0.98598,0.47339,1.77709,0.66701,1.0908,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,10753.3,1.65162,0.75486,1.03408,0.97436,0.97119,0.9869,0.47702,1.77292,0.66359,1.08935,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,11092.7,1.64842,0.74602,1.03494,0.97489,0.96999,0.98568,0.47876,1.76605,0.65751,1.08759,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,11432.1,1.64086,0.74055,1.03189,0.97521,0.96879,0.98537,0.47915,1.76271,0.65578,1.08597,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,11775.9,1.62538,0.72979,1.02927,0.97455,0.96879,0.98559,0.48011,1.76144,0.65248,1.08568,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,12115.7,1.61715,0.7213,1.02528,0.97585,0.97014,0.98589,0.47975,1.7611,0.65059,1.086,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,12455.3,1.60908,0.71324,1.0228,0.97697,0.96999,0.98673,0.47652,1.75899,0.64906,1.08536,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,12794.3,1.59008,0.70677,1.0174,0.97713,0.96999,0.98616,0.47696,1.7575,0.64745,1.08479,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,13134,1.58691,0.69826,1.01705,0.9761,0.96879,0.98616,0.47898,1.75646,0.64558,1.08401,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,13473.8,1.56506,0.68845,1.01274,0.97647,0.96879,0.98606,0.47825,1.75528,0.64374,1.08345,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,13813.6,1.55913,0.68096,1.01032,0.97708,0.96759,0.98624,0.47849,1.75406,0.64209,1.08307,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,14202.5,1.51531,0.62392,1.04057,0.97652,0.96759,0.98626,0.47951,1.754,0.63978,1.08295,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,14540.6,1.49348,0.60501,1.03459,0.97772,0.96879,0.98656,0.4814,1.75418,0.63784,1.08322,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,14879.3,1.46596,0.59521,1.02452,0.97801,0.96879,0.98664,0.48063,1.75473,0.63515,1.08329,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,15218.4,1.45519,0.58675,1.02449,0.97775,0.96999,0.98665,0.48046,1.7541,0.63275,1.08302,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,15557.2,1.43448,0.57486,1.01749,0.97708,0.97256,0.98657,0.48293,1.75419,0.63193,1.08323,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,15895.2,1.41559,0.56708,1.01095,0.9758,0.97239,0.9861,0.48303,1.75327,0.62955,1.08279,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,16232.9,1.39517,0.55747,1.00501,0.97576,0.97239,0.9863,0.4826,1.75444,0.6275,1.08319,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,16570.9,1.38376,0.5498,1.00218,0.97577,0.97239,0.98605,0.48146,1.75493,0.6264,1.08369,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,16909.6,1.37167,0.54264,0.99881,0.9758,0.97239,0.98622,0.48162,1.75456,0.62377,1.08338,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,17247.5,1.35507,0.53549,0.99308,0.97696,0.97239,0.98655,0.48197,1.75413,0.62203,1.08346,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
